Month,ObsTime,Date,StnPres,StnPresMax,StnPresMin,Temperature,T Max,T Min,RH,RHMin,WS,WD,WSGust,WDGust,Precp
2024/11,19,2024/11/19,998.4,1001.3,996.5,25.3,31.1,20.1,81,61,1.2,254,7.1,307,5
2024/11,20,2024/11/20,1003.1,1005.3,1000.5,21.6,25,19.8,64,49,2.6,347,11.8,360,0
2024/11,21,2024/11/21,1004.5,1006.1,1002.6,22.3,27.1,18.5,63,52,1.3,309,5,1,0
2024/11,22,2024/11/22,1004.1,1005.3,1003,23.1,27.4,21.2,73,51,1.2,323,5.6,298,0
2024/11,23,2024/11/23,1003.7,1005,1002.1,21.6,25.2,19.4,70,56,2.1,335,11.3,324,0
2024/11,24,2024/11/24,1003.8,1005.4,1002.4,20.2,25.2,17.5,59,47,2.2,332,6.9,329,0
2024/11,25,2024/11/25,1003.7,1005.5,1002,21.7,25.9,17,69,53,0.9,301,4.6,307,0
2024/11,26,2024/11/26,1002.9,1004.1,1001.7,22.3,25.4,20,73,55,0.7,194,3.2,299,0
2024/11,27,2024/11/27,1000.6,1002.5,999.1,22.1,25,20.4,77,59,1.1,314,5.3,341,0
2024/11,28,2024/11/28,998.8,999.8,997.6,22.5,24.8,21.4,80,79,1.1,320,4.9,340,0
2024/11,29,2024/11/29,999.8,1001.4,997.6,23.1,28.4,18.9,80,55,1.9,320,8.4,344,0
2024/11,30,2024/11/30,999.4,1001.1,997,23.7,27.3,21,81,67,2.4,330,9.4,326,0
2024/12,1,2024/12/01,999.8,1002,997.7,19.3,22.6,16.8,75,62,3.3,353,11.8,343,0
2024/12,2,2024/12/02,1000.6,1003,999,15.4,18,14.2,77,70,3,6,11.6,360,0
2024/12,3,2024/12/03,1001.1,1003.9,998.9,16.7,21.2,13.9,61,43,2.5,9,10.9,351,0
2024/12,4,2024/12/04,1003.6,1006.4,1001.7,19,24.5,13.6,64,47,1.3,309,6.5,317,0
2024/12,5,2024/12/05,1004.7,1006.8,1002.9,18.9,20.7,17.5,84,65,0.8,315,5.6,1,26
2024/12,6,2024/12/06,1003.3,1005.3,1001.5,22,27.1,21.6,87,67,1.4,35,5,315,0
2024/12,7,2024/12/07,1002.6,1004.6,1001.1,21.8,26.5,20.6,92,72,1.4,193,7.3,329,0
2024/12,8,2024/12/08,1002.5,1004.2,1000.8,19.4,22.3,16.1,79,65,3,1,15.8,1,0
2024/12,9,2024/12/09,1004.8,1006.8,1003,14.8,16.3,13.5,79,74,3.2,356,13,341,2
2024/12,10,2024/12/10,1005.5,1006.8,1004.5,15.4,18.5,13.5,78,67,3.1,340,11,340,0
2024/12,11,2024/12/11,1004.9,1007,1003.4,15.5,18.8,12.5,76,65,2.5,324,9.6,355,0
2024/12,12,2024/12/12,1003.5,1005.3,1002.1,18.2,21.3,16.1,81,72,2.6,331,8.9,11,0
2024/12,13,2024/12/13,1003.1,1005,1002,19.4,22.9,17.6,82,66,2.2,324,7.1,353,1
2024/12,14,2024/12/14,1003.2,1005.2,1001.7,20.2,23.9,18,86,67,2.1,334,7.7,325,1
2024/12,15,2024/12/15,1003.7,1005.5,1001.8,19,22,16.7,80,69,2.8,341,11.5,32,0
2024/12,16,2024/12/16,1006.9,1008.9,1004.9,15.9,18.5,14,73,62,3.4,346,13.2,13,0
2024/12,17,2024/12/17,1008.3,1010.6,1005.9,15.5,19.2,13.4,69,55,2.4,2,10.2,336,0
2024/12,18,2024/12/18,1007.6,1010,1005.3,16.9,21.8,14.1,72,52,2,309,10.1,341,0
2024/12,19,2024/12/19,1005,1007.4,1002.6,17.4,21.5,14.4,75,57,2,312,8.7,326,0
2024/12,20,2024/12/20,1004,1006.7,1001.8,18.4,22.6,16.4,84,71,2.3,322,8.9,346,0
2024/12,21,2024/12/21,1003,1005.2,1001.4,19.1,21.9,18.1,85,73,2.9,344,10.1,339,0
2024/12,22,2024/12/22,1003,1004.3,1001.2,16.5,18.7,14.1,75,66,3.2,335,12.1,355,0
2024/12,23,2024/12/23,1004.2,1006.1,1002.4,15.2,18.6,13.5,70,57,2.9,338,10.6,335,0
2024/12,24,2024/12/24,1006.3,1008,1005,12.8,15.5,11.2,58,48,3.1,339,12.9,336,0
2024/12,25,2024/12/25,1008,1009.7,1006.2,14,19.8,10.5,58,44,2.1,322,8.2,351,0
2024/12,26,2024/12/26,1009.2,1011.1,1007.4,16.3,21.7,11.6,68,49,1.6,319,6.9,321,0
2024/12,27,2024/12/27,1008.7,1010.8,1006.5,17.4,23,13.1,74,42,1.1,84,5.8,355,0
2024/12,28,2024/12/28,1007.7,1010.3,1005.6,17.5,21.1,14.7,83,67,2.1,314,9.4,4,0
2024/12,29,2024/12/29,1005.3,1007.2,1003.3,18.4,22.7,16.2,78,61,2.4,326,9.7,335,0
2024/12,30,2024/12/30,1006.8,1009.4,1004.6,17.2,20.7,15.2,75,59,2.5,324,9.8,337,0
2024/12,31,2024/12/31,1007.4,1009.7,1005.9,16,18.8,14.8,80,72,2,312,8.2,330,1
2024/01,1,2024/01/01,1006.2,1008.9,1004,16.1,20.3,13.7,71,56,2.4,340,12.6,327,0
2024/01,2,2024/01/02,1005.5,1007.1,1004.3,15.7,19,13.6,68,55,2,325,7.4,327,0
2024/01,3,2024/01/03,1005.2,1007,1003.3,16.4,21.6,12.5,75,52,1.9,307,8.2,349,0
2024/01,4,2024/01/04,1008.2,1010.9,1006.4,11.6,14.8,10,75,69,3.1,336,11.5,355,0
2024/01,5,2024/01/05,1007.5,1010.6,1005.6,11.8,13.3,10.2,87,72,1.9,322,8.2,1,3
2024/01,6,2024/01/06,1007,1008.6,1005.2,15.1,16.8,13.2,92,84,1.8,332,7.4,354,9
2024/01,7,2024/01/07,1008,1009.4,1006.7,16.8,21,14.8,83,66,2.6,325,11,348,0
2024/01,8,2024/01/08,1008,1010,1005.8,17.5,20.2,15.5,84,74,2.3,332,9.7,315,0
2024/01,9,2024/01/09,1006.6,1008.6,1004.3,17.6,21.1,15.6,81,66,2.7,324,10.4,348,0
2024/01,10,2024/01/10,1006.2,1007.8,1004.2,17.8,22.7,15.4,76,55,2.7,325,10.3,343,0
2024/01,11,2024/01/11,1008,1009.7,1006.7,16.4,19.4,14.7,69,58,2.8,330,9.2,1,0
2024/01,12,2024/01/12,1007,1009.2,1004.9,17,21,14.1,75,62,1.6,299,6.2,8,0
2024/01,13,2024/01/13,1005.2,1007.4,1003.3,18.2,20.7,16.1,84,74,1.4,321,5.9,352,0
2024/01,14,2024/01/14,1001.1,1003.4,998.9,18.4,22.3,16.8,92,76,1.5,306,5.2,347,1
2024/01,15,2024/01/15,996.5,999.8,993.8,18.1,23.5,15.8,90,75,2,303,10.1,354,2
2024/01,16,2024/01/16,998.4,1000.4,996.4,15.5,18.1,13.5,89,78,2.2,339,11.4,343,14
2024/01,17,2024/01/17,1000.2,1002.1,998.5,16.6,22.6,12.9,78,47,1.7,9,7.9,342,0
2024/01,18,2024/01/18,1000.2,1002.4,998.5,18.9,26.1,15.7,77,46,1.4,311,5.4,328,0
2024/01,19,2024/01/19,1000.7,1002.9,999,18.4,24.5,14.7,82,57,1.9,310,9.1,329,0
2024/01,20,2024/01/20,1000.8,1003.3,999,17.6,23.5,15.5,81,60,1.8,313,10.2,348,0
2024/01,21,2024/01/21,1000.6,1002.7,999,17.2,22.4,15,82,61,2.1,310,7.6,348,0
2024/01,22,2024/01/22,1002.2,1003.9,1000.7,13.8,15.8,11.5,88,80,2.6,321,11,1,6
2024/01,23,2024/01/23,1003.9,1005.8,1002.1,12.6,14.4,10.7,81,74,2.6,335,10.6,342,5
2024/01,24,2024/01/24,1002.7,1005.2,1000.2,14.5,18.2,12.5,86,73,2.2,322,9.1,352,5
2024/01,25,2024/01/25,1003.9,1005.5,1002.1,12.1,14.4,10.6,81,69,2.8,330,10.2,340,2
2024/01,26,2024/01/26,1005.1,1007.2,1003,14.3,20.8,10.6,81,55,1.6,320,7.5,309,0
2024/01,27,2024/01/27,1002.7,1005,1000.8,16.4,21.4,13.4,85,61,1.9,320,6.6,298,0
2024/01,28,2024/01/28,1001.7,1004.2,999.8,16.7,21.8,13.3,85,64,1.9,314,7,343,0
2024/01,29,2024/01/29,1002.9,1005,1001.1,17,20.1,15.4,82,68,2.7,325,9.5,342,0
2024/01,30,2024/01/30,1004.3,1006.1,1002.4,16.3,21,14.6,80,62,3.2,337,11,342,0
2024/01,31,2024/01/31,1005.4,1007.5,1003,15,18.7,12.7,77,60,2.7,319,9.1,345,0
2024/02,1,2024/02/01,1004.7,1006.7,1003,15.5,19.2,12.1,82,67,1.7,298,7.1,341,0
2024/02,2,2024/02/02,1005.6,1007.8,1004,15.8,21.1,13.2,75,57,2.8,343,12.3,348,0
2024/02,3,2024/02/03,1006.8,1008.6,1005.6,13.4,14.7,12.1,83,73,2.3,319,7.8,2,0
2024/02,4,2024/02/04,1005.1,1007.7,1002.4,16.5,24.9,12.6,84,49,1.8,318,7.8,342,0
2024/02,5,2024/02/05,1003,1005.3,1000.7,19.2,25.2,15.1,80,47,1.4,314,7.9,317,0
2024/02,6,2024/02/06,997.6,1000.7,994.5,22.3,27.9,17.9,77,51,1,189,7.6,187,0
2024/02,7,2024/02/07,1000,1004.3,996.4,14.9,22.9,10.9,85,74,2.9,339,13.6,349,4
2024/02,8,2024/02/08,1005.2,1007.2,1003,10.6,12,9.3,86,73,2.4,343,9.5,349,4
2024/02,9,2024/02/09,1005.1,1006.8,1003.7,12.7,15.8,9.5,82,70,1.6,330,6.8,328,0
2024/02,10,2024/02/10,1005.1,1006.7,1003.6,15.1,19.8,12.8,89,71,2.3,318,8.7,340,0
2024/02,11,2024/02/11,1005.9,1007.7,1003.7,15.8,18.9,14,86,72,2.7,317,10.4,302,0
2024/02,12,2024/02/12,1005.5,1007.1,1003.4,15.7,17.2,14.2,92,86,2,301,6.8,325,0
2024/02,13,2024/02/13,1004.1,1007.1,1001.4,20.4,27.4,13.9,73,44,1.5,319,10.3,1,0
2024/02,14,2024/02/14,1001.4,1004.2,998.7,20.7,27.6,15.6,78,48,1.5,318,5.9,349,0
2024/02,15,2024/02/15,999.3,1001.4,996.6,17.7,21.1,15.2,90,74,2.2,317,8.8,326,0
2024/02,16,2024/02/16,1001.1,1002.9,998.7,15.3,18.5,14,85,74,3.2,322,11.1,351,0
2024/02,17,2024/02/17,1004.2,1006.8,1002.1,13.5,15.4,11.6,82,75,3.2,340,11.1,1,0
2024/02,18,2024/02/18,1006.3,1008.6,1003.9,13,17.3,11.1,72,58,3,337,11.8,6,0
2024/02,19,2024/02/19,1006.4,1008.6,1003.9,13.6,17.6,11.4,73,58,2.5,323,10.4,350,0
2024/02,20,2024/02/20,1004.2,1006.7,1001.8,15.4,19.8,12.5,84,68,1.8,313,8,314,0
2024/02,21,2024/02/21,1000.7,1003.3,998.5,17.9,21.7,13.8,84,70,1.1,294,4.5,328,0
2024/02,22,2024/02/22,997.3,999.6,994.6,21.9,27.2,16.1,73,55,1,289,5.2,255,0
2024/02,23,2024/02/23,996.2,997.4,994.5,22.4,28.3,18.5,89,65,1.1,82,12.4,296,4
2024/02,24,2024/02/24,997,999.6,995.1,17.1,21.3,15.5,95,85,1.8,337,8.8,2,4
2024/02,25,2024/02/25,997.9,999.8,995.1,15.2,17.5,12.9,94,87,2.2,324,9.5,353,13
2024/02,26,2024/02/26,1001.1,1003.1,998.5,12.4,13.7,11.3,89,85,2.8,331,9.8,344,0
2024/02,27,2024/02/27,1001.3,1004.2,998.6,12.8,14.2,10.8,92,86,2.2,320,8.4,316,9
2024/02,28,2024/02/28,999.3,1002.1,997.6,12.9,15.1,11.7,96,91,2.2,314,10.1,338,15
2024/02,29,2024/02/29,1000.3,1002.1,998.6,15.3,20.6,12.9,89,71,1.9,308,7,1,0
2024/03,1,2024/03/01,1000.7,1003,998.7,18.9,26.7,12.9,84,61,1.5,330,5.6,300,0
2024/03,2,2024/03/02,999.9,1001.8,998.5,21.2,28,14.8,80,57,1.5,292,5.8,348,0
2024/03,3,2024/03/03,1000.7,1003,998.6,17.6,26.3,15.2,88,60,2.3,314,7.8,339,0
2024/03,4,2024/03/04,999.8,1001.5,997.4,20.5,26.7,14.4,81,59,1.4,305,6.1,335,0
2024/03,5,2024/03/05,996.6,999,994.8,23.9,30.3,19.4,77,51,0.9,316,8.3,239,0
2024/03,6,2024/03/06,996.9,999.2,994.4,22.7,28.3,16.5,82,60,1.5,312,6.2,353,0
2024/03,7,2024/03/07,996.6,998.3,994.9,17.7,26.1,15,85,61,2.3,319,8.3,340,0
2024/03,8,2024/03/08,997.7,1000.4,996.2,16.4,21.8,13.9,88,68,2.4,321,9.9,9,0
2024/03,9,2024/03/09,1000.7,1002.9,998.5,13.7,16.1,11.6,87,79,3,329,9.5,3,1
2024/03,10,2024/03/10,1003.3,1005,1001.7,12.1,14.7,9.9,87,82,2.9,315,10.1,355,2
2024/03,11,2024/03/11,1004.8,1006.6,1003.4,13,15.2,11.7,88,77,2.5,328,8.3,339,8
2024/03,12,2024/03/12,1006.1,1007.3,1005,13.7,16.7,12,91,77,1.8,319,6.7,340,10
2024/03,13,2024/03/13,1006.7,1008.2,1004.7,14.1,16.8,11.8,92,79,2.4,315,8.5,340,4
2024/03,14,2024/03/14,1005.1,1006.9,1003.7,15.6,18.4,13.9,96,87,1.8,307,6.1,354,0
2024/03,15,2024/03/15,1003.5,1005.6,1001.3,17.1,24.7,14.8,92,62,1.8,317,6.9,22,0
2024/03,16,2024/03/16,1000.8,1002.9,999,22.9,30,15.4,76,47,0.8,22,5.9,199,0
2024/03,17,2024/03/17,999.7,1001,997.9,25.9,30.6,22.3,78,51,0.9,197,5.6,244,0
2024/03,18,2024/03/18,1000.5,1002.2,998.7,25.2,30.9,21.6,85,56,1.8,10,7.6,301,0
2024/03,19,2024/03/19,1001.2,1003.2,999.8,21.1,26,18.8,84,67,2.1,318,10.3,339,0
2024/03,20,2024/03/20,1001.2,1003.1,999.7,20.4,26.8,16.4,82,62,2.4,293,8.3,337,0
2024/03,21,2024/03/21,1002.1,1004.4,1000,18.7,22.3,16.1,78,64,2.7,324,9.1,344,0
2024/03,22,2024/03/22,1001.4,1004.2,998.4,21.7,27.9,17.7,82,52,1.7,316,6.4,299,0
2024/03,23,2024/03/23,1000.2,1003.5,997.8,23.3,31.7,15.6,76,44,2.1,321,11.7,345,0
2024/03,24,2024/03/24,1003.8,1005.4,1002.2,13.3,15.8,11.4,65,52,2.9,318,13.1,338,0
2024/03,25,2024/03/25,1004.8,1006.4,1003.1,17.5,23.9,12.5,56,39,2.2,320,9,330,0
2024/03,26,2024/03/26,1005.9,1007.8,1004.1,20,25.4,14.4,60,38,1.3,206,9.3,342,0
2024/03,27,2024/03/27,1007.3,1009.7,1005.6,21.7,26.7,17,57,35,1.2,13,7.1,301,0
2024/03,28,2024/03/28,1006.3,1008.8,1004.2,22.1,26.7,18.2,66,45,1.4,262,7.1,320,0
2024/03,29,2024/03/29,1005.3,1007.8,1003.5,22,25.7,19.5,68,48,1.3,59,6.7,337,0
2024/03,30,2024/03/30,1002.6,1004.5,999.8,23.3,28.2,17.9,59,34,1.3,299,6.7,317,0
2024/03,31,2024/03/31,1004.3,1006.1,1002.3,20.5,24.5,16.5,61,41,2.8,317,14.1,316,0
2024/04,1,2024/04/01,1004.4,1006.1,1003.1,22.1,27.2,16.1,62,49,1,200,6.1,200,0
2024/04,2,2024/04/02,1002.9,1004.7,1000.4,23.7,28.1,20.3,73,54,1,304,4.5,322,0
2024/04,3,2024/04/03,1003.4,1005.4,1000.9,24.4,28.8,20.9,70,58,1.8,316,10.1,319,0
2024/04,4,2024/04/04,1002.7,1004.8,1000.4,23.6,28.3,18.9,65,46,1.1,314,5.6,206,0
2024/04,5,2024/04/05,1001.1,1002.9,999.5,22.8,25.9,20.2,77,61,1.4,304,7,13,0
2024/04,6,2024/04/06,1001.5,1003.8,999.8,21,23.6,19.4,87,75,1,310,4.2,341,5
2024/04,7,2024/04/07,1003,1004.7,1001.3,22.5,25.4,19.9,85,68,1.1,58,5.5,146,0
2024/04,8,2024/04/08,1003.2,1004.5,1002.2,23.4,26.7,20.9,80,57,1.1,201,5.6,205,1
2024/04,9,2024/04/09,1002.4,1003.9,1001.2,23.3,27.5,21.6,81,58,1.4,312,5.9,336,1
2024/04,10,2024/04/10,1000.9,1003.4,998.5,26.4,31.9,22.6,74,49,1.2,302,7.7,297,0
2024/04,11,2024/04/11,998.6,1000.4,995.6,27.1,31.3,25.2,78,51,1.9,200,6.7,291,0
2024/04,12,2024/04/12,997.6,999.1,995.9,26.4,29.8,24.4,78,58,1.5,295,6,286,0
2024/04,13,2024/04/13,998.4,1000,996.3,27.4,31.2,24.5,71,54,1.4,203,6.3,207,0
2024/04,14,2024/04/14,998.9,1000.7,997.1,26.6,31.7,24.4,73,45,1.4,299,7.7,286,0
2024/04,15,2024/04/15,997.1,999.4,994,27.3,31.2,24.4,70,46,1.4,159,6.4,276,0
2024/04,16,2024/04/16,996.4,998.1,994.6,23.9,27.4,19.3,82,69,1.8,198,8.5,14,6
2024/04,17,2024/04/17,996.9,998.2,995.3,21.4,23.9,18.6,80,68,1.2,320,5.5,353,4
2024/04,18,2024/04/18,996.9,998.7,995,23.5,27.3,21,86,67,1.4,315,6.1,312,30
2024/04,19,2024/04/19,997.1,999.1,995.7,25.2,29.4,22.2,85,59,1.1,319,4.4,290,0
2024/04,20,2024/04/20,996.4,997.9,994.4,25.9,29.8,23.1,80,60,0.9,201,5.6,141,10
2024/04,21,2024/04/21,994.9,997.1,993.4,25.6,30.8,22.7,75,51,1.3,166,9.1,193,6
2024/04,22,2024/04/22,997.4,998.8,995.7,25.7,29.5,21.9,76,59,1.1,310,4.7,137,2
2024/04,23,2024/04/23,997.7,999.5,995.7,26.7,30.5,23.4,73,54,1.1,301,6.7,283,0
2024/04,24,2024/04/24,995.5,997.4,993.2,28.8,34.5,23.9,65,43,1.7,195,10.6,192,1
2024/04,25,2024/04/25,995.3,997.8,993.5,28.8,32.3,25.3,69,53,1.8,197,12.1,194,5
2024/04,26,2024/04/26,996.8,998.4,994.7,23,26.9,19.9,81,68,1.8,319,12.1,341,55
2024/04,27,2024/04/27,997.8,1000.7,995.7,22.3,25.1,20.3,85,73,1.4,312,8.6,343,19
2024/04,28,2024/04/28,998.1,999.7,995.6,23.7,27.3,20.9,89,63,0.7,200,5.1,107,22
2024/04,29,2024/04/29,996.4,997.9,994.4,25.6,33.3,21.7,79,54,1.2,96,11.6,238,18
2024/04,30,2024/04/30,995.4,997.4,993.7,25.9,30,23.1,85,64,1.2,166,7.1,157,65
2024/05,1,2024/05/01,995.4,997.5,993.7,28.8,33.9,23.9,69,47,1.7,194,9.4,194,0
2024/05,2,2024/05/02,994.8,995,992.8,28,31.6,25.8,76,72,1.2,188,5.7,199,3
2024/05,3,2024/05/03,993.8,995.3,992.4,27.2,31.2,24.8,82,64,1.1,293,5.7,349,14
2024/05,4,2024/05/04,994.1,995.9,992.4,24.4,26.8,21.5,87,77,1.7,310,6.4,326,15
2024/05,5,2024/05/05,995.6,997.2,994.6,24.5,29.3,21.1,73,54,1.8,313,7.4,355,0
2024/05,6,2024/05/06,996.7,998.5,995.2,26.4,31.3,22.1,64,32,1.6,313,6.5,338,0
2024/05,7,2024/05/07,997,998.5,995.9,27.1,31.5,22.9,66,41,1.1,215,5.8,248,0
2024/05,8,2024/05/08,995.5,996.9,993.8,28.3,32.8,24.2,69,48,1.7,199,7.2,196,0
2024/05,9,2024/05/09,995.4,997.4,993.4,28.8,33.9,25.8,73,56,1.6,177,8.6,316,0
2024/05,10,2024/05/10,996,997.2,994.9,26,31.1,23.3,80,62,1.7,311,7.3,33,0
2024/05,11,2024/05/11,994.9,996,993.2,25.6,29.3,22.2,81,67,2,311,6.7,23,0
2024/05,12,2024/05/12,994.1,995.7,992.5,27.3,31.2,24.8,74,58,1.1,199,6.4,313,0
2024/05,13,2024/05/13,993.4,994.9,991.9,28.7,33.2,24.5,67,48,1.2,198,7.1,187,0
2024/05,14,2024/05/14,995,996.5,993.5,29.7,34.5,25.2,64,47,1.3,201,7.3,303,0
2024/05,15,2024/05/15,995.4,997.2,993.5,29.5,34.3,26.4,70,44,1.6,169,6.2,218,0
2024/05,16,2024/05/16,994.2,995.7,992.5,27.6,32.1,24.5,80,56,1,66,12.2,199,15
2024/05,17,2024/05/17,994.9,996.8,993,26.2,30.7,23.2,86,61,0.9,202,5.6,215,43
2024/05,18,2024/05/18,997.1,999.3,994.9,25.3,28.5,23.8,92,74,0.9,291,6.1,191,64
2024/05,19,2024/05/19,995.7,998.1,993.4,25.9,28.6,24.1,89,69,0.9,162,5.8,167,4
2024/05,20,2024/05/20,992.3,994.4,991.1,25.5,29.7,23.2,83,62,2.1,329,10,339,23
2024/05,21,2024/05/21,993.4,995.9,991.8,25.5,30.1,22,64,48,2.8,319,11.7,339,0
2024/05,22,2024/05/22,994.7,995.7,993.5,25.4,30.3,22.2,63,47,2.2,322,8.3,348,0
2024/05,23,2024/05/23,994.7,996.2,993.2,26.5,31.6,21.8,70,50,1.4,322,6.8,284,0
2024/05,24,2024/05/24,994.3,995.2,992.7,27.4,31,23.8,65,48,1.5,300,6.4,286,0
2024/05,25,2024/05/25,994.6,996,993,27.6,31.8,23.9,68,48,1.9,313,7.5,346,0
2024/05,26,2024/05/26,995,996.9,993.7,27.7,32.1,24.4,73,51,1.9,310,7.2,304,0
2024/05,27,2024/05/27,994.9,996.2,993.2,28.5,32.2,25.3,76,58,1.7,300,6.5,335,1
2024/05,28,2024/05/28,995.8,997.1,994.6,26.2,29.4,23.5,87,72,1.8,320,6.4,1,12
2024/05,29,2024/05/29,995.7,996.6,994,27.3,31.4,24,82,61,1.5,157,6.8,156,37
2024/05,30,2024/05/30,994.4,995.9,993,28.1,32.7,25.6,78,56,1.2,301,6.5,286,0
2024/05,31,2024/05/31,994,995.3,992.1,26.8,30.6,24.3,74,56,2.9,342,11.3,333,0
2024/06,1,2024/06/01,993.5,994.9,991.5,27,31.7,23.7,73,55,2.3,326,8,297,0
2024/06,2,2024/06/02,991.5,993.4,989.9,26.3,29.7,24,78,65,2.8,335,11.2,352,0
2024/06,3,2024/06/03,989.2,990.5,987.4,27.1,30.6,24.2,75,63,2.3,318,8.4,347,0
2024/06,4,2024/06/04,989.5,990.9,988.1,26.4,29.3,24.7,84,71,2.5,318,10,343,0
2024/06,5,2024/06/05,990.3,991.3,989.3,27.6,32.4,24.6,78,55,2.2,323,8.6,354,0
2024/06,6,2024/06/06,990.9,992.4,989.9,28.6,32.4,24.9,76,62,1.6,204,6,303,0
2024/06,7,2024/06/07,991.6,993.4,990.5,30.5,34.5,27.7,71,57,1.3,182,7,188,0
2024/06,8,2024/06/08,992.7,993.7,990.8,30.7,34.6,28,71,52,1.6,195,8.9,110,5
2024/06,9,2024/06/09,991.5,993.1,989.9,28.3,32.4,26.3,81,60,1.7,162,10.4,162,17
2024/06,10,2024/06/10,988.4,990,986.5,27.9,31.4,25.6,86,72,1.6,182,9.3,245,9
2024/06,11,2024/06/11,986.6,988.1,985.3,28.5,30.6,26.8,87,77,2.3,188,11.1,205,53
2024/06,12,2024/06/12,985.6,988.3,984,27.1,29.8,25.3,92,74,1.5,200,8.6,175,35
2024/06,13,2024/06/13,988.4,989.9,986.9,27.3,30.4,24.2,83,69,1.3,2,5.2,200,0
2024/06,14,2024/06/14,988.4,989.7,986.9,26.7,29.8,24.8,88,70,1,295,5.3,353,33
2024/06,15,2024/06/15,988.4,991.1,986.4,27.1,29.8,25.1,87,72,1.2,191,8.6,136,9
2024/06,16,2024/06/16,991.5,993.7,989.4,27.7,30.1,26,84,68,1.1,322,5.2,360,2
2024/06,17,2024/06/17,992,993.2,990.2,28.3,32.3,25.4,82,58,2,313,8.3,318,2
2024/06,18,2024/06/18,989.3,992.4,987.5,28.6,32.6,26.4,76,55,1.5,303,7.1,315,0
2024/06,19,2024/06/19,986.8,988.3,984.7,26.9,29.5,25,86,73,1.5,202,10.2,215,37
2024/06,20,2024/06/20,984.6,987.5,980.6,26.2,28.1,23.9,87,74,2.3,152,19.6,145,65
2024/06,21,2024/06/21,992.6,995.3,986.9,25.5,29.9,22.7,90,77,1.1,43,6.6,167,20
2024/06,22,2024/06/22,994.3,995.4,993.4,28.5,31.8,25.4,76,62,1.6,200,9.8,206,0
2024/06,23,2024/06/23,993.4,994.9,992.1,28.7,31.7,26.8,74,61,1.8,198,10.1,188,1
2024/06,24,2024/06/24,993.8,994.6,993,30,34.3,25.9,65,46,2.1,192,10.2,189,0
2024/06,25,2024/06/25,993.6,994.6,992.1,29.9,33.6,26.6,69,54,1.9,163,8.8,184,0
2024/06,26,2024/06/26,993.5,995,992.4,29.6,33.4,26.9,73,53,1.6,192,10,252,0
2024/06,27,2024/06/27,994.3,995.3,993.4,29.9,33.9,26.9,68,45,1.5,296,7.5,286,0
2024/06,28,2024/06/28,991.1,994.9,987.7,29.3,32.2,26.7,75,60,2.1,204,9.5,316,0
2024/06,29,2024/06/29,991.1,994.7,986.8,28.3,31.3,25.5,81,65,1.9,321,7.4,286,1
2024/06,30,2024/06/30,995.2,998.2,993.4,29.2,33.1,25.9,76,62,1.7,315,8.5,294,1
2024/07,1,2024/07/01,997.3,998.7,995.7,30,33.5,27.9,70,54,1.8,306,7.6,276,0
2024/07,2,2024/07/02,995.5,998.1,993.7,29.6,32.6,27.2,69,52,1.7,288,7.5,299,0
2024/07,3,2024/07/03,992.9,994.7,991.2,29.9,33.3,27.5,67,52,1.6,273,7.1,302,0
2024/07,4,2024/07/04,992.7,994.4,991.5,30.1,33.5,27.2,66,48,1.8,305,7.2,300,0
